year,doy,temp,GrowthDD,prec,vpd,snowpack,ET,Drain,Soilwater,DWater,DwaterIx,Dwatertot,Foliage,PlantC,BudC,WoodC,RootC,LAI,NetPsnMo,GrsPsnMo,NEE,WoodMR,WoodGR,FolGR,RootGR,RootMR,SoilResp,FoliarN
1896,74,2.753,127.63,17.96,0.27432945825837873,-1468.313889557144,2.0291187481376833,15.930881251862335,12.0,1.0,31,31.0,322.0202784951738,301.39248335335606,144.9091253228282,210.240475900266,359.8060230604091,5.223432204611424,-3.63691751595114,5.050073498179787,-73.87382430936731,0.3535051448725851,0,36.22728133070705,2.128828810215757,8.515315240863028,33.65612031783653,2.0
1896,105,10.882,454.09,9.52,0.6643524105782584,-1468.313889557144,3.554044561303944,5.965955438696062,12.0,1.0,61,61.0,322.0202784951738,390.2478806127989,144.9091253228282,210.240475900266,330.4527925513912,5.223432204611424,82.01799502856306,97.677174726854,18.57107679186428,7.190907375752366,0,36.22728133070705,5.390298866773297,21.56119546709319,56.609516005819,2.0
1896,135,14.648499999999999,908.1934999999999,13.38,0.771784668442703,-1468.313889557144,5.523989846371679,7.856010153628352,12.0,1.0,92,92.0,322.0202784951738,512.8963054170371,144.9091253228282,210.240475900266,289.8538840223724,5.223432204611424,112.51936790915684,135.9120100354033,26.818078478633367,16.704748078230597,0.6152161926031428,36.22728133070705,9.901288703330938,39.60515481332375,75.5722325354421,2.0
1896,166,19.0765,1480.4885,27.56,0.8808726519819488,-1468.313889557144,7.1834799819826465,20.376520018017395,12.0,0.9999999999999998,122,122.0,322.0202784951738,653.4242743754579,144.9091253228282,210.240475900266,236.19406377889396,5.223432204611424,89.01598426996068,122.01012230788643,-61.32618780040871,25.24545663978265,43.58649231951127,36.22728133070705,15.863490952606323,63.45396381042529,98.83018738190921,2.0
1896,196,22.997999999999998,2193.4264999999996,9.71,1.1452732125731693,-1468.313889557144,7.358729718678359,2.351270281321623,12.0,0.9999999999999996,153,153.0,322.0202784951738,770.9354842462242,144.9091253228282,210.240475900266,169.31532294483242,5.223432204611424,98.58473782009169,142.18350564456225,-53.675422600619996,35.19830203490201,52.56011897506651,36.22728133070705,23.294462156390942,93.17784862556377,133.3336883700371,2.0
1896,227,22.8645,2902.2259999999997,9.34,1.1397577261804317,-1468.313889557144,6.560920172341979,2.7790798276580175,12.0,1.0,184,184.0,322.0202784951738,865.4002116815317,144.9091253228282,210.240475900266,122.00917982339104,5.223432204611424,85.6673912000981,125.6762319315629,-55.258707615111106,43.995638270111414,52.56011897506651,36.22728133070705,28.550700280995542,114.20280112398217,132.1287625799998,2.0
1896,258,19.712,3493.586,5.05,1.020285687740143,-1468.313889557144,4.4238814139173295,0.626118586082691,12.0,1.0,214,214.0,322.0202784951738,942.8848244751755,144.9091253228282,210.240475900266,97.93996011611289,5.223432204611424,70.61440722809947,98.14579379348956,-39.45045739486223,50.86584383565568,52.56011897506651,36.22728133070705,31.225058026248668,124.90023210499467,103.19465905741743,2.0
1896,288,13.642,3916.488,14.84,0.7163359569076577,-1468.313889557144,3.168653156903181,11.671346843096842,12.0,0.9999999999999991,245,244.99999999999997,270.497033935946,985.8220305219539,144.9091253228282,210.240475900266,87.05935334651788,4.387683051873596,39.05115701982222,55.51498609937507,-35.407841626529056,54.75189286261194,52.56011897506651,36.22728133070705,32.434014333981445,129.73605733592578,70.57294961939502,2.0
1896,319,7.065,4128.438,3.69,0.46107157970952983,-1468.313889557144,0.5205741174408043,3.169425882559201,12.0,1.0,275,275.0,102.78887289565948,985.2554725339711,144.9091253228282,210.240475900266,82.21057078261036,1.491699427331549,-1.01722865464615,6.438152380904742,-45.13614080473297,55.202563529275274,52.56011897506651,36.22728133070705,32.972767952193394,131.89107180877357,43.668241483423486,2.0
1896,349,5.0840000000000005,4286.042,3.43,0.4063402823330833,-1468.313889557144,0.38016656630176704,3.0498334336982307,12.0,0.9999999999999997,306,306.0,0.0,983.1079085925858,144.9091253228282,210.240475900266,78.32949933341575,0,-2.1603469873813075,0.18261494279945603,-41.610069272009,55.215346575271234,52.56011897506651,36.22728133070705,33.40399811321502,133.61599245286007,39.43693923863173,2.0
